OUR_TAG,KRENC_TAG

information:location,information
information:route_source,information
information:route_tag,information
information:route_type,information
information:validation,information

action:advertise,action
action:suppress,action
action:restrict,action
action:reject,action
action:validate,action
action:blackhole,action
action:scrubbing,action
action:flowspec,action
action:next-hop-steering,action

action:advertise,action
action:advertise:prepend,action
action:advertise:med,action

action:accept,action
action:accept:localpref,action
